Pair;set;category;modality;traits;delta
5;b) complete dataset;aquatic stages;aquatic stage as adult;tachaqua_adult;-0.014421499
5;b) complete dataset;dispersal;aquatic passive;tachdisp_aquapass;0.023763427
5;b) complete dataset;dispersal;aquatic active;tachdisp_aquaact;-0.030421936
5;b) complete dataset;dispersal;aerial passive;tachdisp_aerpass;-0.024477616
5;b) complete dataset;dispersal;aerial active;tachdisp_aeract;0.031136125
5;b) complete dataset;feeding habits;absorbers;tachfeed_abs;0.004591274
5;b) complete dataset;feeding habits;deposit feeders;tachfeed_dpf;0.063815513
5;b) complete dataset;feeding habits;shredders;tachfeed_shr;-0.122457198
5;b) complete dataset;feeding habits;scrapers;tachfeed_scr;0.152710236
5;b) complete dataset;feeding habits;filter-feeders;tachfeed_fif;0.031447182
5;b) complete dataset;feeding habits;piercers;tachfeed_pie;0
5;b) complete dataset;feeding habits;predators;tachfeed_pre;-0.130210331
5;b) complete dataset;feeding habits;parasites;tachfeed_par;0.000103323
5;b) complete dataset;locomotion;flier;tachloco_flr;0.004713176
5;b) complete dataset;locomotion;surface swimmer;tachloco_ssw;-0.008267711
5;b) complete dataset;locomotion;full water swimmer;tachloco_wsw;-0.009174158
5;b) complete dataset;locomotion;crawler;tachloco_crw;-0.009352015
5;b) complete dataset;locomotion;burrower;tachloco_bur;-0.009252784
5;b) complete dataset;locomotion;interstitial;tachloco_int;0.01716409
5;b) complete dataset;locomotion;temporarily attached;tachloco_tat;0.012762847
5;b) complete dataset;locomotion;permanently attached;tachloco_pat;0.001406556
5;b) complete dataset;voltinism;semivoltine;tachrepcyc_less1;0.043081879
5;b) complete dataset;voltinism;monovoltine;tachrepcyc_one;-0.049156374
5;b) complete dataset;voltinism;polyvoltine;tachrepcyc_gr1;0.006074495
5;b) complete dataset;reproduction;ovoviviparity;tachrepro_ovo;-0.149099062
5;b) complete dataset;reproduction;isolated eggs, free;tachrepro_fie;0.045765923
5;b) complete dataset;reproduction;isolated eggs, cemented;tachrepro_cie;0.10730882
5;b) complete dataset;reproduction;clutches, cemented;tachrepro_fic;0.114013117
5;b) complete dataset;reproduction;clutches, free;tachrepro_frc;-0.134604097
5;b) complete dataset;reproduction;clutches, in vegetation;tachrepro_vec;0.001369863
5;b) complete dataset;reproduction;clutches, terrestrial;tachrepro_tec;-0.015784311
5;b) complete dataset;reproduction;asexual reproduction;tachrepro_ase;0.031029748
5;b) complete dataset;resistant forms;egg, gemmula, statoblasts;tachresist_egg;0.157907651
5;b) complete dataset;resistant forms;cocoons;tachresist_coc;0.057675676
5;b) complete dataset;resistant forms;housing against dessication;tachresist_hou;-5.57E-05
5;b) complete dataset;resistant forms;diapause or dormany;tachresist_did;-0.00507307
5;b) complete dataset;resistant forms;none;tachresist_non;-0.210454598
5;b) complete dataset;respiration;tegument;tachrespir_teg;-0.001211349
5;b) complete dataset;respiration;gill;tachrespir_gil;0.031691174
5;b) complete dataset;respiration;plastron;tachrespir_pls;0.012119596
5;b) complete dataset;respiration;spiracle;tachrespir_spi;-0.042599421
5;b) complete dataset;respiration;hydrostatic vesicle;tachrespir_ves;0
5;b) complete dataset;fecundity;< 100;fecund_less100;-0.064528333
5;b) complete dataset;fecundity;100 - 1000;fecund_100to1000;-0.098820992
5;b) complete dataset;fecundity;1000 - 3000;fecund_1000to3000;0.139058565
5;b) complete dataset;fecundity;> 3000;fecund_gr3000;0.02429076
7;b) complete dataset;aquatic stages;aquatic stage as egg;tachaqua_egg;-0.071998018
7;b) complete dataset;aquatic stages;aquatic stage as larva;tachaqua_larva;0.008299955
7;b) complete dataset;aquatic stages;aquatic stage as nmyph/pupa;tachaqua_nymph;0.097721204
7;b) complete dataset;aquatic stages;aquatic stage as adult;tachaqua_adult;-0.034023142
7;b) complete dataset;dispersal;aquatic passive;tachdisp_aquapass;-0.044752804
7;b) complete dataset;dispersal;aquatic active;tachdisp_aquaact;-0.017882727
7;b) complete dataset;dispersal;aerial passive;tachdisp_aerpass;0.071811955
7;b) complete dataset;dispersal;aerial active;tachdisp_aeract;-0.009176424
7;b) complete dataset;feeding habits;absorbers;tachfeed_abs;0.008485051
7;b) complete dataset;feeding habits;deposit feeders;tachfeed_dpf;0.076576508
7;b) complete dataset;feeding habits;shredders;tachfeed_shr;-0.2747003
7;b) complete dataset;feeding habits;scrapers;tachfeed_scr;-0.091092583
7;b) complete dataset;feeding habits;filter-feeders;tachfeed_fif;0.164515344
7;b) complete dataset;feeding habits;piercers;tachfeed_pie;0.036363636
7;b) complete dataset;feeding habits;predators;tachfeed_pre;0.073709328
7;b) complete dataset;feeding habits;parasites;tachfeed_par;0.006143016
7;b) complete dataset;locomotion;flier;tachloco_flr;-0.009917986
7;b) complete dataset;locomotion;surface swimmer;tachloco_ssw;0.009090909
7;b) complete dataset;locomotion;full water swimmer;tachloco_wsw;-0.042129737
7;b) complete dataset;locomotion;crawler;tachloco_crw;-0.097805559
7;b) complete dataset;locomotion;burrower;tachloco_bur;0.159534155
7;b) complete dataset;locomotion;interstitial;tachloco_int;-0.032224987
7;b) complete dataset;locomotion;temporarily attached;tachloco_tat;0.013362463
7;b) complete dataset;locomotion;permanently attached;tachloco_pat;9.07E-05
7;b) complete dataset;voltinism;semivoltine;tachrepcyc_less1;-0.025367156
7;b) complete dataset;voltinism;monovoltine;tachrepcyc_one;0.197300036
7;b) complete dataset;voltinism;polyvoltine;tachrepcyc_gr1;-0.17193288
7;b) complete dataset;reproduction;ovoviviparity;tachrepro_ovo;-0.189268317
7;b) complete dataset;reproduction;isolated eggs, free;tachrepro_fie;0.04098635
7;b) complete dataset;reproduction;isolated eggs, cemented;tachrepro_cie;-0.010404082
7;b) complete dataset;reproduction;clutches, cemented;tachrepro_fic;0.009724668
7;b) complete dataset;reproduction;clutches, free;tachrepro_frc;0.143979447
7;b) complete dataset;reproduction;clutches, in vegetation;tachrepro_vec;-0.032042724
7;b) complete dataset;reproduction;clutches, terrestrial;tachrepro_tec;-0.004672897
7;b) complete dataset;reproduction;asexual reproduction;tachrepro_ase;0.041697555
7;b) complete dataset;resistant forms;egg, gemmula, statoblasts;tachresist_egg;-0.018424566
7;b) complete dataset;resistant forms;cocoons;tachresist_coc;0.07987515
7;b) complete dataset;resistant forms;housing against dessication;tachresist_hou;0.034090909
7;b) complete dataset;resistant forms;diapause or dormany;tachresist_did;0.057883672
7;b) complete dataset;resistant forms;none;tachresist_non;-0.153425165
7;b) complete dataset;respiration;tegument;tachrespir_teg;0.306658662
7;b) complete dataset;respiration;gill;tachrespir_gil;-0.277528913
7;b) complete dataset;respiration;plastron;tachrespir_pls;-0.026435247
7;b) complete dataset;respiration;spiracle;tachrespir_spi;-0.002694502
7;b) complete dataset;respiration;hydrostatic vesicle;tachrespir_ves;0
7;b) complete dataset;fecundity;< 100;fecund_less100;0.112805739
7;b) complete dataset;fecundity;100 - 1000;fecund_100to1000;-0.158211361
7;b) complete dataset;fecundity;1000 - 3000;fecund_1000to3000;-0.044450549
7;b) complete dataset;fecundity;> 3000;fecund_gr3000;0.089856172
8;b) complete dataset;aquatic stages;aquatic stage as egg;tachaqua_egg;-0.02558688
8;b) complete dataset;aquatic stages;aquatic stage as larva;tachaqua_larva;0.023368343
8;b) complete dataset;aquatic stages;aquatic stage as nmyph/pupa;tachaqua_nymph;0.023655795
8;b) complete dataset;aquatic stages;aquatic stage as adult;tachaqua_adult;-0.021437258
8;b) complete dataset;dispersal;aquatic passive;tachdisp_aquapass;0.090335759
8;b) complete dataset;dispersal;aquatic active;tachdisp_aquaact;-0.110571928
8;b) complete dataset;dispersal;aerial passive;tachdisp_aerpass;0.014078979
8;b) complete dataset;dispersal;aerial active;tachdisp_aeract;0.00615719
8;b) complete dataset;feeding habits;absorbers;tachfeed_abs;-0.007393588
8;b) complete dataset;feeding habits;deposit feeders;tachfeed_dpf;0.055656683
8;b) complete dataset;feeding habits;shredders;tachfeed_shr;0.139312437
8;b) complete dataset;feeding habits;scrapers;tachfeed_scr;-0.032130783
8;b) complete dataset;feeding habits;filter-feeders;tachfeed_fif;-0.132202095
8;b) complete dataset;feeding habits;piercers;tachfeed_pie;-0.014560531
8;b) complete dataset;feeding habits;predators;tachfeed_pre;-0.008796934
8;b) complete dataset;feeding habits;parasites;tachfeed_par;0.000114811
8;b) complete dataset;locomotion;flier;tachloco_flr;0
8;b) complete dataset;locomotion;surface swimmer;tachloco_ssw;0.000912106
8;b) complete dataset;locomotion;full water swimmer;tachloco_wsw;-0.04286404
8;b) complete dataset;locomotion;crawler;tachloco_crw;0.015515991
8;b) complete dataset;locomotion;burrower;tachloco_bur;-0.057997381
8;b) complete dataset;locomotion;interstitial;tachloco_int;0.068777936
8;b) complete dataset;locomotion;temporarily attached;tachloco_tat;0.013567612
8;b) complete dataset;locomotion;permanently attached;tachloco_pat;0.002087775
8;b) complete dataset;voltinism;semivoltine;tachrepcyc_less1;-0.007063513
8;b) complete dataset;voltinism;monovoltine;tachrepcyc_one;-0.024420005
8;b) complete dataset;voltinism;polyvoltine;tachrepcyc_gr1;0.031483518
8;b) complete dataset;reproduction;ovoviviparity;tachrepro_ovo;-0.009204533
8;b) complete dataset;reproduction;isolated eggs, free;tachrepro_fie;0.007024096
8;b) complete dataset;reproduction;isolated eggs, cemented;tachrepro_cie;0.016533883
8;b) complete dataset;reproduction;clutches, cemented;tachrepro_fic;-0.102398052
8;b) complete dataset;reproduction;clutches, free;tachrepro_frc;0.028330569
8;b) complete dataset;reproduction;clutches, in vegetation;tachrepro_vec;0.003007186
8;b) complete dataset;reproduction;clutches, terrestrial;tachrepro_tec;0
8;b) complete dataset;reproduction;asexual reproduction;tachrepro_ase;0.05670685
8;b) complete dataset;resistant forms;egg, gemmula, statoblasts;tachresist_egg;0.000608071
8;b) complete dataset;resistant forms;cocoons;tachresist_coc;0.062011408
8;b) complete dataset;resistant forms;housing against dessication;tachresist_hou;-0.027056385
8;b) complete dataset;resistant forms;diapause or dormany;tachresist_did;0.134198515
8;b) complete dataset;resistant forms;none;tachresist_non;-0.169761608
8;b) complete dataset;respiration;tegument;tachrespir_teg;0.007913791
8;b) complete dataset;respiration;gill;tachrespir_gil;-0.007913791
8;b) complete dataset;respiration;plastron;tachrespir_pls;0
8;b) complete dataset;respiration;spiracle;tachrespir_spi;0
8;b) complete dataset;respiration;hydrostatic vesicle;tachrespir_ves;0
8;b) complete dataset;fecundity;< 100;fecund_less100;0.212132075
8;b) complete dataset;fecundity;100 - 1000;fecund_100to1000;-0.048093623
8;b) complete dataset;fecundity;1000 - 3000;fecund_1000to3000;-0.079151774
8;b) complete dataset;fecundity;> 3000;fecund_gr3000;-0.084886678
9;b) complete dataset;aquatic stages;aquatic stage as egg;tachaqua_egg;-0.050242848
9;b) complete dataset;aquatic stages;aquatic stage as larva;tachaqua_larva;0.055634324
9;b) complete dataset;aquatic stages;aquatic stage as nmyph/pupa;tachaqua_nymph;0.133018892
9;b) complete dataset;aquatic stages;aquatic stage as adult;tachaqua_adult;-0.138410367
9;b) complete dataset;dispersal;aquatic passive;tachdisp_aquapass;-0.12167248
9;b) complete dataset;dispersal;aquatic active;tachdisp_aquaact;-0.100244216
9;b) complete dataset;dispersal;aerial passive;tachdisp_aerpass;0.089976139
9;b) complete dataset;dispersal;aerial active;tachdisp_aeract;0.131940557
9;b) complete dataset;feeding habits;absorbers;tachfeed_abs;0.008363809
9;b) complete dataset;feeding habits;deposit feeders;tachfeed_dpf;0.140108501
9;b) complete dataset;feeding habits;shredders;tachfeed_shr;-0.294596627
9;b) complete dataset;feeding habits;scrapers;tachfeed_scr;0.003506886
9;b) complete dataset;feeding habits;filter-feeders;tachfeed_fif;0.043942365
9;b) complete dataset;feeding habits;piercers;tachfeed_pie;0.002016129
9;b) complete dataset;feeding habits;predators;tachfeed_pre;0.085881388
9;b) complete dataset;feeding habits;parasites;tachfeed_par;0.010777549
9;b) complete dataset;locomotion;flier;tachloco_flr;0.002441668
9;b) complete dataset;locomotion;surface swimmer;tachloco_ssw;0.006979434
9;b) complete dataset;locomotion;full water swimmer;tachloco_wsw;-0.0548305
9;b) complete dataset;locomotion;crawler;tachloco_crw;-0.041993967
9;b) complete dataset;locomotion;burrower;tachloco_bur;0.070889669
9;b) complete dataset;locomotion;interstitial;tachloco_int;-0.01950534
9;b) complete dataset;locomotion;temporarily attached;tachloco_tat;0.034423146
9;b) complete dataset;locomotion;permanently attached;tachloco_pat;0.001595892
9;b) complete dataset;voltinism;semivoltine;tachrepcyc_less1;0.002371355
9;b) complete dataset;voltinism;monovoltine;tachrepcyc_one;0.207383658
9;b) complete dataset;voltinism;polyvoltine;tachrepcyc_gr1;-0.209755012
9;b) complete dataset;reproduction;ovoviviparity;tachrepro_ovo;-0.462442997
9;b) complete dataset;reproduction;isolated eggs, free;tachrepro_fie;0.029350877
9;b) complete dataset;reproduction;isolated eggs, cemented;tachrepro_cie;0.043651417
9;b) complete dataset;reproduction;clutches, cemented;tachrepro_fic;0.226962577
9;b) complete dataset;reproduction;clutches, free;tachrepro_frc;0.120269497
9;b) complete dataset;reproduction;clutches, in vegetation;tachrepro_vec;0.015254094
9;b) complete dataset;reproduction;clutches, terrestrial;tachrepro_tec;0.007622594
9;b) complete dataset;reproduction;asexual reproduction;tachrepro_ase;0.01933194
9;b) complete dataset;resistant forms;egg, gemmula, statoblasts;tachresist_egg;0.085749765
9;b) complete dataset;resistant forms;cocoons;tachresist_coc;0.038562626
9;b) complete dataset;resistant forms;housing against dessication;tachresist_hou;-1.82E-05
9;b) complete dataset;resistant forms;diapause or dormany;tachresist_did;0.058939348
9;b) complete dataset;resistant forms;none;tachresist_non;-0.183233583
9;b) complete dataset;respiration;tegument;tachrespir_teg;0.236733618
9;b) complete dataset;respiration;gill;tachrespir_gil;-0.2491446
9;b) complete dataset;respiration;plastron;tachrespir_pls;0.004797336
9;b) complete dataset;respiration;spiracle;tachrespir_spi;0.007613646
9;b) complete dataset;respiration;hydrostatic vesicle;tachrespir_ves;0
9;b) complete dataset;fecundity;< 100;fecund_less100;0.16222358
9;b) complete dataset;fecundity;100 - 1000;fecund_100to1000;-0.177275137
9;b) complete dataset;fecundity;1000 - 3000;fecund_1000to3000;0.002016055
9;b) complete dataset;fecundity;> 3000;fecund_gr3000;0.013035502
13;b) complete dataset;aquatic stages;aquatic stage as egg;tachaqua_egg;0.006428827
13;b) complete dataset;aquatic stages;aquatic stage as larva;tachaqua_larva;-0.014923543
13;b) complete dataset;aquatic stages;aquatic stage as nmyph/pupa;tachaqua_nymph;-0.171493536
13;b) complete dataset;aquatic stages;aquatic stage as adult;tachaqua_adult;0.179988252
13;b) complete dataset;dispersal;aquatic passive;tachdisp_aquapass;0.166291078
13;b) complete dataset;dispersal;aquatic active;tachdisp_aquaact;-0.00790376
13;b) complete dataset;dispersal;aerial passive;tachdisp_aerpass;-0.123832215
13;b) complete dataset;dispersal;aerial active;tachdisp_aeract;-0.034555103
13;b) complete dataset;feeding habits;absorbers;tachfeed_abs;0.0003914
13;b) complete dataset;feeding habits;deposit feeders;tachfeed_dpf;-0.122301128
13;b) complete dataset;feeding habits;shredders;tachfeed_shr;0.347081691
13;b) complete dataset;feeding habits;scrapers;tachfeed_scr;0.130314062
13;b) complete dataset;feeding habits;filter-feeders;tachfeed_fif;-0.285976564
13;b) complete dataset;feeding habits;piercers;tachfeed_pie;0.000102041
13;b) complete dataset;feeding habits;predators;tachfeed_pre;-0.066061004
13;b) complete dataset;feeding habits;parasites;tachfeed_par;-0.003550497
13;b) complete dataset;locomotion;flier;tachloco_flr;0.061729835
13;b) complete dataset;locomotion;surface swimmer;tachloco_ssw;0.000867347
13;b) complete dataset;locomotion;full water swimmer;tachloco_wsw;-0.162119642
13;b) complete dataset;locomotion;crawler;tachloco_crw;0.224775996
13;b) complete dataset;locomotion;burrower;tachloco_bur;-0.022313431
13;b) complete dataset;locomotion;interstitial;tachloco_int;0.134041441
13;b) complete dataset;locomotion;temporarily attached;tachloco_tat;-0.238238601
13;b) complete dataset;locomotion;permanently attached;tachloco_pat;0.001257054
13;b) complete dataset;voltinism;semivoltine;tachrepcyc_less1;0.050521542
13;b) complete dataset;voltinism;monovoltine;tachrepcyc_one;0.30519093
13;b) complete dataset;voltinism;polyvoltine;tachrepcyc_gr1;-0.355712472
13;b) complete dataset;reproduction;ovoviviparity;tachrepro_ovo;0.1969161
13;b) complete dataset;reproduction;isolated eggs, free;tachrepro_fie;-0.012760914
13;b) complete dataset;reproduction;isolated eggs, cemented;tachrepro_cie;-0.226402894
13;b) complete dataset;reproduction;clutches, cemented;tachrepro_fic;0.064762943
13;b) complete dataset;reproduction;clutches, free;tachrepro_frc;-0.0577372
13;b) complete dataset;reproduction;clutches, in vegetation;tachrepro_vec;-0.006666667
13;b) complete dataset;reproduction;clutches, terrestrial;tachrepro_tec;0.038563671
13;b) complete dataset;reproduction;asexual reproduction;tachrepro_ase;0.003324961
13;b) complete dataset;resistant forms;egg, gemmula, statoblasts;tachresist_egg;-0.065629251
13;b) complete dataset;resistant forms;cocoons;tachresist_coc;0.037134594
13;b) complete dataset;resistant forms;housing against dessication;tachresist_hou;0.000158076
13;b) complete dataset;resistant forms;diapause or dormany;tachresist_did;0.025524266
13;b) complete dataset;resistant forms;none;tachresist_non;0.002812315
13;b) complete dataset;respiration;tegument;tachrespir_teg;-0.105378303
13;b) complete dataset;respiration;gill;tachrespir_gil;-0.070069174
13;b) complete dataset;respiration;plastron;tachrespir_pls;0.16509621
13;b) complete dataset;respiration;spiracle;tachrespir_spi;0.010351268
13;b) complete dataset;respiration;hydrostatic vesicle;tachrespir_ves;0
13;b) complete dataset;fecundity;< 100;fecund_less100;0.441569913
13;b) complete dataset;fecundity;100 - 1000;fecund_100to1000;-0.267322205
13;b) complete dataset;fecundity;1000 - 3000;fecund_1000to3000;-0.184802995
13;b) complete dataset;fecundity;> 3000;fecund_gr3000;0.010555288
14;b) complete dataset;aquatic stages;aquatic stage as egg;tachaqua_egg;-0.154425085
14;b) complete dataset;aquatic stages;aquatic stage as larva;tachaqua_larva;0.068308726
14;b) complete dataset;aquatic stages;aquatic stage as nmyph/pupa;tachaqua_nymph;0.226132826
14;b) complete dataset;aquatic stages;aquatic stage as adult;tachaqua_adult;-0.140016468
14;b) complete dataset;dispersal;aquatic passive;tachdisp_aquapass;-0.096702052
14;b) complete dataset;dispersal;aquatic active;tachdisp_aquaact;-0.125145681
14;b) complete dataset;dispersal;aerial passive;tachdisp_aerpass;0.188722499
14;b) complete dataset;dispersal;aerial active;tachdisp_aeract;0.033125234
14;b) complete dataset;feeding habits;absorbers;tachfeed_abs;0.007309949
14;b) complete dataset;feeding habits;deposit feeders;tachfeed_dpf;0.19868827
14;b) complete dataset;feeding habits;shredders;tachfeed_shr;-0.315474012
14;b) complete dataset;feeding habits;scrapers;tachfeed_scr;-0.125078214
14;b) complete dataset;feeding habits;filter-feeders;tachfeed_fif;0.133532366
14;b) complete dataset;feeding habits;piercers;tachfeed_pie;0.003563301
14;b) complete dataset;feeding habits;predators;tachfeed_pre;0.052474157
14;b) complete dataset;feeding habits;parasites;tachfeed_par;0.044984182
14;b) complete dataset;locomotion;flier;tachloco_flr;-0.012903564
14;b) complete dataset;locomotion;surface swimmer;tachloco_ssw;0.000523705
14;b) complete dataset;locomotion;full water swimmer;tachloco_wsw;-0.08388965
14;b) complete dataset;locomotion;crawler;tachloco_crw;-0.171310886
14;b) complete dataset;locomotion;burrower;tachloco_bur;0.158886087
14;b) complete dataset;locomotion;interstitial;tachloco_int;-0.007955483
14;b) complete dataset;locomotion;temporarily attached;tachloco_tat;0.114058851
14;b) complete dataset;locomotion;permanently attached;tachloco_pat;0.002590939
14;b) complete dataset;voltinism;semivoltine;tachrepcyc_less1;0.005689559
14;b) complete dataset;voltinism;monovoltine;tachrepcyc_one;0.043676045
14;b) complete dataset;voltinism;polyvoltine;tachrepcyc_gr1;-0.049365604
14;b) complete dataset;reproduction;ovoviviparity;tachrepro_ovo;-0.378399901
14;b) complete dataset;reproduction;isolated eggs, free;tachrepro_fie;0.020618336
14;b) complete dataset;reproduction;isolated eggs, cemented;tachrepro_cie;0.007432491
14;b) complete dataset;reproduction;clutches, cemented;tachrepro_fic;0.048897736
14;b) complete dataset;reproduction;clutches, free;tachrepro_frc;0.266732267
14;b) complete dataset;reproduction;clutches, in vegetation;tachrepro_vec;-0.013340287
14;b) complete dataset;reproduction;clutches, terrestrial;tachrepro_tec;0
14;b) complete dataset;reproduction;asexual reproduction;tachrepro_ase;0.048059358
14;b) complete dataset;resistant forms;egg, gemmula, statoblasts;tachresist_egg;0.001074703
14;b) complete dataset;resistant forms;cocoons;tachresist_coc;0.096688012
14;b) complete dataset;resistant forms;housing against dessication;tachresist_hou;0
14;b) complete dataset;resistant forms;diapause or dormany;tachresist_did;0.124297401
14;b) complete dataset;resistant forms;none;tachresist_non;-0.222060117
14;b) complete dataset;respiration;tegument;tachrespir_teg;0.430971421
14;b) complete dataset;respiration;gill;tachrespir_gil;-0.398051222
14;b) complete dataset;respiration;plastron;tachrespir_pls;-0.03254573
14;b) complete dataset;respiration;spiracle;tachrespir_spi;-0.00037447
14;b) complete dataset;respiration;hydrostatic vesicle;tachrespir_ves;0
14;b) complete dataset;fecundity;< 100;fecund_less100;0.12627908
14;b) complete dataset;fecundity;100 - 1000;fecund_100to1000;-0.243263443
14;b) complete dataset;fecundity;1000 - 3000;fecund_1000to3000;0.108849649
14;b) complete dataset;fecundity;> 3000;fecund_gr3000;0.008134714
16;b) complete dataset;aquatic stages;aquatic stage as egg;tachaqua_egg;-0.017372134
16;b) complete dataset;aquatic stages;aquatic stage as larva;tachaqua_larva;-0.012351943
16;b) complete dataset;aquatic stages;aquatic stage as nmyph/pupa;tachaqua_nymph;0.007654128
16;b) complete dataset;aquatic stages;aquatic stage as adult;tachaqua_adult;0.022069949
16;b) complete dataset;dispersal;aquatic passive;tachdisp_aquapass;0.082949389
16;b) complete dataset;dispersal;aquatic active;tachdisp_aquaact;-0.044147796
16;b) complete dataset;dispersal;aerial passive;tachdisp_aerpass;-0.033667178
16;b) complete dataset;dispersal;aerial active;tachdisp_aeract;-0.005134414
16;b) complete dataset;feeding habits;absorbers;tachfeed_abs;0.032943013
16;b) complete dataset;feeding habits;deposit feeders;tachfeed_dpf;0.070825167
16;b) complete dataset;feeding habits;shredders;tachfeed_shr;-0.016994271
16;b) complete dataset;feeding habits;scrapers;tachfeed_scr;-0.062268512
16;b) complete dataset;feeding habits;filter-feeders;tachfeed_fif;-0.006755224
16;b) complete dataset;feeding habits;piercers;tachfeed_pie;0.001552606
16;b) complete dataset;feeding habits;predators;tachfeed_pre;-0.018277495
16;b) complete dataset;feeding habits;parasites;tachfeed_par;-0.001025285
16;b) complete dataset;locomotion;flier;tachloco_flr;0.004509401
16;b) complete dataset;locomotion;surface swimmer;tachloco_ssw;-0.002223138
16;b) complete dataset;locomotion;full water swimmer;tachloco_wsw;-0.041312983
16;b) complete dataset;locomotion;crawler;tachloco_crw;-0.05523192
16;b) complete dataset;locomotion;burrower;tachloco_bur;-0.031030486
16;b) complete dataset;locomotion;interstitial;tachloco_int;0.11472005
16;b) complete dataset;locomotion;temporarily attached;tachloco_tat;0.010694536
16;b) complete dataset;locomotion;permanently attached;tachloco_pat;-0.00012546
16;b) complete dataset;voltinism;semivoltine;tachrepcyc_less1;-0.010727055
16;b) complete dataset;voltinism;monovoltine;tachrepcyc_one;-0.043370245
16;b) complete dataset;voltinism;polyvoltine;tachrepcyc_gr1;0.054097301
16;b) complete dataset;reproduction;ovoviviparity;tachrepro_ovo;-0.046223661
16;b) complete dataset;reproduction;isolated eggs, free;tachrepro_fie;-0.016167806
16;b) complete dataset;reproduction;isolated eggs, cemented;tachrepro_cie;-0.035936808
